"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"25","Mérida",224,865.6,59335,68.55,38.915833333333,-6.3333333333333,"España"
"26","Nigrán",350,34.9,17675,506.45,42.1415954,-8.8066339,"España"
"27","O Barco de Valdeorras",325,86.1,13395,155.57,42.416666666667,-6.9830555555556,"España"
"28","Onzonilla",805,21.78,1835,84.25,42.524722222222,-5.5833333333333,"España"
"29","Oviedo",231,186.65,219686,1176.99,43.3625,-5.8502777777778,"España"
"30","Poio",91,33.93,17082,503.45,42.440833333333,-8.7013888888889,"España"
"31","Ponferrada",512,283.17,64674,228.39,42.546111111111,-6.5908333333333,"España"
"32","Pontevedra",16,118.22,83029,702.33,42.433611111111,-8.6475,"España"
"33","Porto",83,41.3,237591,5324,41.149472222222,-8.6107777777778,"Portugal"
"34","Pozuelo de Alarcón",690,43.2,86422,2000.51,40.440833333333,-3.8147222222222,"España"
"35","Salamanca",798,39.34,144228,3666.19,40.965,-5.6638888888889,"España"
"36","Santander",8,36.08,172539,4782.12,43.466666666667,-3.8,"España"
"37","Santiago de Compostela",260,220.01,97260,442.07,42.883333333333,-8.5333333333333,"España"
"38","Sarria",513,185.09,13330,72.02,42.777778,-7.414444,"España"
"39","Sevilla",11,140.8,688592,4890.57,37.383333333333,-5.9833333333333,"España"
"40","Tordesillas",704,141.95,8750,61.64,41.5008635,-5.0004844,"España"
"41","Valladolid",690,197.91,298412,1507.82,41.651980555556,-4.7285611111111,"España"
"42","Vilagarcía de Arousa",0,47.14,37456,794.57,42.5950581,-8.74306467245,"España"
"43","Viveiro",12,109.3,15466,141.5,43.648055555556,-7.59,"España"
"44","Ávila",1131,231.9,57744,249,40.654347222222,-4.6962222222222,"España"
"45","A Pobra do Caramiñal",0,32.51,9338,287.23,42.6,-8.9333333333333,"España"
"46","Padrón",13,48.37,8384,173.33,42.7390228,-8.6602504,"España"
"47","Tomiño",554,106.51,13499,126.74,41.9960729,-8.73140583572,"España"
"48","Tui",44,68.3,16701,244.52,42.048056,-8.644444,"España"
